termo,site,ano,titulo,data,link,link_base
incêndio,www.publico.pt,2017,Incêndio em Gaia - PÚBLICO,2017-01-18 04:36:37,https://arquivo.pt/noFrame/replay/20170118043637/http://www.publico.pt/multimedia/video/incendio-em-gaia-20161025-162615,http://www.publico.pt/multimedia/video/incendio-em-gaia-20161025-162615
incêndio,www.publico.pt,2017,Incêndio em Gaia - PÚBLICO,2017-01-19 06:18:47,https://arquivo.pt/noFrame/replay/20170119061847/http://www.publico.pt/multimedia/video/incendio-em-gaia-20161025-162615,http://www.publico.pt/multimedia/video/incendio-em-gaia-20161025-162615
incêndio,www.publico.pt,2017,Complexo turístico Zmar recupera as infra-estruturas destruídas por um incêndio - PÚBLICO,2017-01-10 20:21:26,https://arquivo.pt/noFrame/replay/20170110202126/https://www.publico.pt/2017/01/10/local/noticia/complexo-turistico-zmar-recupera-as-infraestruturas-destruidas-por-um-incendio-1757764,
incêndio,www.publico.pt,2017,Zambujeira do Mar - PÚBLICO,2017-01-11 02:26:52,https://arquivo.pt/noFrame/replay/20170111022652/http://www.publico.pt/zambujeira-do-mar,http://www.publico.pt/zambujeira-do-mar
incêndio,www.publico.pt,2017,Zambujeira do Mar - PÚBLICO,2017-01-11 02:26:43,https://arquivo.pt/noFrame/replay/20170111022643/https://www.publico.pt/zambujeira-do-mar,
incêndio,www.publico.pt,2017,Incêndios na zona centro são dos mais graves a nível mundial nas últimas décadas - PÚBLICO,2017-06-23 03:19:28,https://arquivo.pt/noFrame/replay/20170623031928/https://www.publico.pt/2017/06/18/sociedade/noticia/incendios-na-zona-centro-sao-dos-mais-graves-a-nivel-mundial-nas-ultimas-decadas-1776092,
incêndio,www.publico.pt,2017,António Costa quer dar prioridade à reconstrução na zona de Pedrógão - PÚBLICO,2017-06-29 04:43:02,https://arquivo.pt/noFrame/replay/20170629044302/https://www.publico.pt/2017/06/26/politica/noticia/antonia-costa-quer-dar-prioridade-a-reconstrucao-na-zona-de-pedrogao-1776945,
incêndio,www.publico.pt,2017,As técnicas das notícias falsas do século XIX continuam a resultar - PÚBLICO,2017-04-25 17:28:04,https://arquivo.pt/noFrame/replay/20170425172804/https://www.publico.pt/2017/04/24/mundo/noticia/as-tecnicas-das-noticias-falsas-do-seculo-xix-continuam-a-resultar-1769352,
incêndio,www.publico.pt,2017,As técnicas das notícias falsas do século XIX continuam a resultar - PÚBLICO,2017-05-14 06:30:21,https://arquivo.pt/noFrame/replay/20170514063021/https://www.publico.pt/2017/04/24/mundo/noticia/as-tecnicas-das-noticias-falsas-do-seculo-xix-continuam-a-resultar-1769352,
incêndio,www.publico.pt,2017,YouTube - PÚBLICO,2017-07-03 06:39:42,https://arquivo.pt/noFrame/replay/20170703063942/https://www.publico.pt/youtube,
incêndio,www.publico.pt,2017,Costa reúne-se com autarcas das zonas atingidas pelos fogos - PÚBLICO,2017-07-09 02:24:44,https://arquivo.pt/noFrame/replay/20170709022444/https://www.publico.pt/2017/06/27/politica/noticia/costa-reunese-com-autarcas-das-zonas-atingidas-pelos-fogos-1777119,
incêndio,www.publico.pt,2017,Ferreira do Zêzere - PÚBLICO,2017-01-11 06:05:20,https://arquivo.pt/noFrame/replay/20170111060520/http://www.publico.pt/ferreira-do-zezere?frm=home_tag,http://www.publico.pt/ferreira-do-zezere?frm=home_tag
incêndio,www.publico.pt,2017,Ferreira do Zêzere - PÚBLICO,2017-01-10 05:45:12,https://arquivo.pt/noFrame/replay/20170110054512/http://www.publico.pt/ferreira-do-zezere?frm=home_tag,http://www.publico.pt/ferreira-do-zezere?frm=home_tag
incêndio,www.publico.pt,2017,YouTube - PÚBLICO,2017-07-14 06:45:06,https://arquivo.pt/noFrame/replay/20170714064506/https://www.publico.pt/youtube,
