termo,site,ano,titulo,data,link,contents
incêndio,www.publico.pt,2017,Incêndio em Gaia - PÚBLICO,2017-01-18 04:36:37,https://arquivo.pt/noFrame/replay/20170118043637/http://www.publico.pt/multimedia/video/incendio-em-gaia-20161025-162615,"('cookies cookies porpaulo pimenta 25 10 2016 16 27 antigo armazem fabrica moveis lima avenida republica vila nova gaia junto ponte luiz i ardeu final manha desta terca feira versao responsivaouversao normal continuar inicie sessao registe ja registe nopublicopara guardar quantos artigos quiser ler tarde participar inqueritos tornar moderador comentarios registar continuar ler inicie sessao assine ja economia limites politica limites cultura limites desporto limites opiniao limites video limites 2017publico comunicacao social sa email marketing 30 diasapenas1 assine publico onlinee continue ler pensar limites atingir limite artigos publico online mostrou importante si excelencia qualidade jornalismo portugal pagamentos visa paypal debito directo restantes meses 9 99 cada assine jae leia publico durante 30 dias apenas 1 ja assinante inicie sessao 8 semanasapenas0 99 novos assinantes assine publico onlinee continue ler pensar limites atingir limite artigos publico online mostrou importante si excelencia qualidade jornalismo portugal pagamentos visa paypal debito directo restantes meses 9 99 cada periodo fidelizacao assine jae leia publico durante 8 semanas apenas 0 99 ja assinante inicie sessao nao perca noticias reportagens fotografias trabalhos multimedia fazem publico jornal premiado lider online experimente 1 primeiro mes assine ja ja assinante inicie sessao campanha pagamentos visa paypal debito directo renovacao mensal 9 99 esclarecemos questoes veja videos explicativos deixe contato ligamos seguida submeta questao respondemos imediato chat continuar ler faca login assine ja usufruir assinatura diaria ter acesso todos osconteudos exclusivosdurante dia hoje tome nota codigo introduza campo lado iniciar sessao condicoes partir 2 30', 'Público')"
incêndio,www.publico.pt,2017,Complexo turístico Zmar recupera as infra-estruturas destruídas por um incêndio - PÚBLICO,2017-01-10 20:21:26,https://arquivo.pt/noFrame/replay/20170110202126/https://www.publico.pt/2017/01/10/local/noticia/complexo-turistico-zmar-recupera-as-infraestruturas-destruidas-por-um-incendio-1757764,"('obras recuperacao edificios infra estruturas complexo turistico zmar eco campo resort destruidas sequencia umviolento incendioque ocorreu passado mes setembro ja arrancaram passado dia 2 janeiro francesca mello breyner responsavel relacoes publicas complexo turisticoassessora empresa adiantou publico trabalhos vao executados equipamentos danificados chamas visam manter essencial estruturas anteriores entanto experiencia recolhida desde 2009 ano zmar inaugurado permitem inovar sobretudo forma funcionamento decoracao espacos arquitectura explicou realcando proposito nao fugir projecto original empresa proprietaria zmar decidiu poucas semanas apos incendio reabrir espaco publico fins semana equipamentosque nao afectados incendio tendo meta disponibilizar empreendimento pleno ainda primeiro semestre 2017 assim ter celebrado festa reveillon contou presenca cerca 750 hospedes oeco resortfechou portas dar inicio dia 2 janeiro obras renovacao zmar caracteristicas define empreendimento equipamentos madeira vai mantida garantia expressa francesca mello breyner zmar recorrera materia prima proveniente florestas certificadas sustentabilidade garantida onde taxa crescimento supere cortes efectuados acentua preocupacao questoes ambientais pretende associar recuperacao zmar ano turismo sustentavel declarado onu projecto acredita defende principios merecido reconhecimento nivel nacional internacional sublinha francesca mello breyner subscreva gratuitamente newsletters receba melhor actualidade trabalhos profundos publico trabalhos recuperacao vao incidir spa restaurante cozinhas piscina interior ondas algumas salas inauguracao oficial novo zmar prevista junho espera maio oecoresortja possa receber grandes grupos hospedes eventos recorde incendio ocorrido final tarde dia 24 setembro complexo situado 10 quilometros zambujeira mar odemira provocou danos avultados levou retirada instalacoes cerca 700 pessoas clientes funcionarios convidados casamento nao registaram vitimas apuramento causas fogo obrigou realizacao pericias policia judiciaria setubal ainda nao conhecem resultados adiantou porta voz zmar acrescentando desde inicio afastada hipotese mao criminosa causas poderao associadas curto circuito equipamento movel admite francesca mello breyner', 'Complexo turístico Zmar recupera as infra-estruturas destruídas por um incêndio')"
incêndio,www.publico.pt,2017,Zambujeira do Mar - PÚBLICO,2017-01-11 02:26:52,https://arquivo.pt/noFrame/replay/20170111022652/http://www.publico.pt/zambujeira-do-mar,"('cookies cookies todos porcarlos dias 10 01 2017 trabalhos realizar vao incidir spa restaurante cozinhas piscina interior ondas algumas salas eco resort abrira publico durante mes maio porcarlos dias 10 01 2017 trabalhos realizar vao incidir spa restaurante cozinhas piscina interior ondas algumas salas eco resort abrira publico durante mes maio porcarlos dias 19 10 2016 cerca 80 postos trabalho eco resort mantidos espera area destruida chamas recuperada ate periodo pascoa porlusa 04 10 2016 vitima apanhada onda maior porcarlos dias 26 09 2016 incendio sabado afectou spa piscina ondas restaurante cozinhas algumas salas desteresortna zambujeira mar porlusa 25 09 2016 incendio fase rescaldo nao feridos danos sao avultados porcarlos dias luisa pintoepedro sales dias 24 09 2016 fogo controlado bombeiros inicio noite deste sabado 94 operacionais combateram chamas mobilizado helicoptero pormario lopes 03 08 2016 wiz khalifa sia damian marley steve aoki integram cartaz festival sensacao ferias campo praia tao importante quanto musica porcarlos dias 04 12 2015 pescadores estao apreensivos estragos estado mar ja provocou duas vezes obras valorizacao infra estruturas portuarias orcadas 200 mil euros porlusaepublico 03 07 2015 situacao sera reavaliada dentro duas semanas pormario lopes 06 08 2014 festival zambujeira mar assume plenamente identidade desenvolvendo ultimos anos apresenta destaque lado ellie goulding john newman djs david guetta hardwell alesso versao responsivaouversao normal continuar inicie sessao registe ja registe nopublicopara guardar quantos artigos quiser ler tarde participar inqueritos tornar moderador comentarios registar continuar ler inicie sessao assine ja economia limites politica limites cultura limites desporto limites opiniao limites video limites 2017publico comunicacao social sa email marketing 30 diasapenas1 assine publico onlinee continue ler pensar limites atingir limite artigos publico online mostrou importante si excelencia qualidade jornalismo portugal pagamentos visa paypal debito directo restantes meses 9 99 cada assine jae leia publico durante 30 dias apenas 1 ja assinante inicie sessao 8 semanasapenas0 99 novos assinantes assine publico onlinee continue ler pensar limites atingir limite artigos publico online mostrou importante si excelencia qualidade jornalismo portugal pagamentos visa paypal debito directo restantes meses 9 99 cada periodo fidelizacao assine jae leia publico durante 8 semanas apenas 0 99 ja assinante inicie sessao nao perca noticias reportagens fotografias trabalhos multimedia fazem publico jornal premiado lider online experimente 1 primeiro mes assine ja ja assinante inicie sessao campanha pagamentos visa paypal debito directo renovacao mensal 9 99 esclarecemos questoes veja videos explicativos deixe contato ligamos seguida submeta questao respondemos imediato chat continuar ler faca login assine ja usufruir assinatura diaria ter acesso todos osconteudos exclusivosdurante dia hoje tome nota codigo introduza campo lado iniciar sessao condicoes partir 2 30', 'Público')"
incêndio,www.publico.pt,2017,Ferreira do Zêzere - PÚBLICO,2017-01-11 06:05:20,https://arquivo.pt/noFrame/replay/20170111060520/http://www.publico.pt/ferreira-do-zezere?frm=home_tag,"('cookies esti utilizazo cookies localizazo todos tpicos porlusa 08 01 2017 acidente ocorreu chzo serra porlusa 08 01 2017 acidente ocorreu chzo serra porana henriques 10 12 2016 hi falta veculos servio problema s nzo grave porque virios tribunais funcionarzo maior parte tempo balcaes atendimento judicial magistrados porliliana borges 10 08 2016 vtima mortal turista alemzo caravana localizada armazm atingido incndio porlusa 29 12 2015 hospital deveri pronto 2019 2010 iri custar cerca 60 milhaes euros teri 72 camas porlusa 30 09 2015 appdescubra mdio tejo di conhecer patrimnio cultural religioso arqueolgico natural museus 13 concelhos porlusaepublico 24 11 2014 agosto proprietirio terreno disse apenas limpi lo prevenir incndios comara insiste aczo ilegal porlusaepublico 28 08 2014 proprietirio terrenos onde segundo quercus decorre obra ilegal zona protegida junto albufeira castelo bode argumenta intervenzo visa melhorar impacto visual prevenzo incndios porpublico 14 06 2014 60 bombeiros estzo combater incndio florestal incio nesta tarde sibado zona mato concelho ferreira zzere distrito santarm confirma autoridade nacional proteczo civil anpc verszo responsivaouverszo normal continuar inicie sesszo registe ji registe nopblicopara guardar quantos artigos quiser ler tarde participar inquritos tornar moderador comentirios registar continuar ler inicie sesszo assine ji economia limites poltica limites cultura limites desporto limites opinizo limites vdeo limites 2017pblico comunicazo social sa email marketing 30 diasapenas1oe14 assine pblico onlinee continue ler pensar limites atingir limite artigos pblico online mostrou importante si excelncia qualidade jornalismo portugal pagamentos visa paypal dbito directo restantes meses oe149 99 cada assine jie leia pblico durante 30 dias apenas 1oe14 ji assinante inicie sesszo 8 semanasapenas0 99oe14 novos assinantes assine pblico onlinee continue ler pensar limites atingir limite artigos pblico online mostrou importante si excelncia qualidade jornalismo portugal pagamentos visa paypal dbito directo restantes meses oe149 99 cada perodo fidelizazo assine jie leia pblico durante 8 semanas apenas 0 99oe14 ji assinante inicie sesszo nzo perca notcias reportagens fotografias trabalhos multimdia fazem publico jornal premiado lder online experimente 1oe14 primeiro ms assine ji ji assinante inicie sesszo campanha pagamentos visa paypal dbito directo renovazo mensal 9 99oe14 esclarecemos questaes veja videos explicativos deixe contato ligamos seguida submeta questzo respondemos imediato chat continuar ler faa login assine ji usufruir assinatura diiria ter acesso todos oscontedos exclusivosdurante dia hoje tome nota cdigo introduza campo lado iniciar sesszo condiaes partir 2 30oe14', 'P├║blico')"
incêndio,www.publico.pt,2017,Andrzej Zulawski (1940 - 2016) - PÚBLICO,2017-06-22 05:00:38,https://arquivo.pt/noFrame/replay/20170622050038/http://www.publico.pt/andrzej-zulawski-1940-2016,"('cookies cookies todos porluis miguel queirosevasco camara 17 02 2016 realizador sofria cancro estreado 2015 novo filme cosmos porluis miguel queirosevasco camara 17 02 2016 realizador sofria cancro estreado 2015 novo filme cosmos versao responsivaouversao normal continuar inicie sessao registe ja registe nopublicopara guardar quantos artigos quiser ler tarde participar inqueritos tornar moderador comentarios registar continuar ler inicie sessao assine ja economia limites politica limites cultura limites desporto limites opiniao limites video limites 2017publico comunicacao social sa email marketing 30 diasapenas1 assine publico onlinee continue ler pensar limites atingir limite artigos publico online mostrou importante si excelencia qualidade jornalismo portugal pagamentos visa paypal debito directo restantes meses 9 99 cada assine jae leia publico durante 30 dias apenas 1 ja assinante inicie sessao 8 semanasapenas0 99 novos assinantes assine publico onlinee continue ler pensar limites atingir limite artigos publico online mostrou importante si excelencia qualidade jornalismo portugal pagamentos visa paypal debito directo restantes meses 9 99 cada periodo fidelizacao assine jae leia publico durante 8 semanas apenas 0 99 ja assinante inicie sessao nao perca noticias reportagens fotografias trabalhos multimedia fazem publico jornal premiado lider online experimente 1 primeiro mes assine ja ja assinante inicie sessao campanha pagamentos visa paypal debito directo renovacao mensal 9 99 esclarecemos questoes veja videos explicativos deixe contato ligamos seguida submeta questao respondemos imediato chat continuar ler faca login assine ja usufruir assinatura diaria ter acesso todos osconteudos exclusivosdurante dia hoje tome nota codigo introduza campo lado iniciar sessao condicoes partir 2 30', 'Público')"
incêndio,www.publico.pt,2017,Nova Zelândia - PÚBLICO,2017-06-15 02:17:32,https://arquivo.pt/noFrame/replay/20170615021732/http://www.publico.pt/nova-zelandia?frm=home_tag,"('cookies cookies todos porpublico 12 06 2017 terracos cor rosa brancos desapareceram vulcao monte tarawera entrou erupcao passados 131 anos equipa investigadores acredita ter encontrado porpublico 12 06 2017 terracos cor rosa brancos desapareceram vulcao monte tarawera entrou erupcao passados 131 anos equipa investigadores acredita ter encontrado porpublico 25 05 2017 foguete empresa rocket lab possui componentes feitas impressao 3d porpublico 05 04 2017 nao unico caso politico associado desarmonias toca pizzas ja criticado comer pizza talheres presidente disse brincadeira ananas pizzas devia proibido porlusa 28 03 2017 vitoria 2 0 fiji garante primeiro lugar grupo porpublico 471partilhas 20 03 2017 porpublico 15 03 2017 rio neozelandes ganhou personalidade juridica passa agora poder representado processos judiciais reconhecimento visa sobretudo conservacao pormargarida david cardoso 14 03 2017 logo seguir lisboa ocupa 43 lugar estao cidades nova iorque edimburgo viena volta liderar ranking avaliou qualidade vida 231 cidades porclaudia carvalho silva 17 02 2017 grande parte continente encontrar submersa nova zelandia poucas partes superficie pertencera massa continental porreutersepublico 11 02 2017 incidente maior genero pais desde 1985 450 baleias ficaram encalhadas costa auckland porpublico 10 02 2017 autoridades neozelandesas estao tentar salvar cerca 100 baleias piloto encalharam ainda estao vivas versao responsivaouversao normal continuar inicie sessao registe ja registe nopublicopara guardar quantos artigos quiser ler tarde participar inqueritos tornar moderador comentarios registar continuar ler inicie sessao assine ja economia limites politica limites cultura limites desporto limites opiniao limites video limites 2017publico comunicacao social sa email marketing 30 diasapenas1 assine publico onlinee continue ler pensar limites atingir limite artigos publico online mostrou importante si excelencia qualidade jornalismo portugal pagamentos visa paypal debito directo restantes meses 9 99 cada assine jae leia publico durante 30 dias apenas 1 ja assinante inicie sessao 8 semanasapenas0 99 novos assinantes assine publico onlinee continue ler pensar limites atingir limite artigos publico online mostrou importante si excelencia qualidade jornalismo portugal pagamentos visa paypal debito directo restantes meses 9 99 cada periodo fidelizacao assine jae leia publico durante 8 semanas apenas 0 99 ja assinante inicie sessao nao perca noticias reportagens fotografias trabalhos multimedia fazem publico jornal premiado lider online experimente 1 primeiro mes assine ja ja assinante inicie sessao campanha pagamentos visa paypal debito directo renovacao mensal 9 99 esclarecemos questoes veja videos explicativos deixe contato ligamos seguida submeta questao respondemos imediato chat continuar ler faca login assine ja usufruir assinatura diaria ter acesso todos osconteudos exclusivosdurante dia hoje tome nota codigo introduza campo lado iniciar sessao condicoes partir 2 30', 'Público')"
incêndio,www.publico.pt,2017,Braço de ferro entre Portugal e Grécia por causa dos Yazidi - PÚBLICO,2017-01-25 22:51:07,https://arquivo.pt/noFrame/replay/20170125225107/http://www.publico.pt/multimedia/video/braco-de-ferro-entre-portugal-e-grecia-por-causa-dos-yazidi-20171251810222,"('cookies estua utilizauiueo cookies localizauiueo 25 01 2017 17 45 governo ofereceu acolhimento centenas refugiados etnia yazidi maioria provenientes iraque so grecia agora alberga acha escolha portuguesa envolve discriminacao governo ofereceu acolhimento centenas refugiados etnia yazidi maioria provenientes iraque so grecia agora alberga acha escolha portuguesa envolve discriminacao caracteres restantes criturios publicauiueo versueo responsivaouversueo normal continuar inicie sessueo registe jua registe nopublicopara guardar quantos artigos quiser ler tarde participar inquuritos tornar moderador comentuarios registar continuar ler inicie sessueo assine jua economia limites poluutica limites cultura limites desporto limites opiniueo limites vuudeo limites 2017publico comunicauiueo social sa email marketing 30 diasapenas1a assine publico onlinee continue ler pensar limites atingir limite artigos publico online mostrou u importante si exceluncia qualidade jornalismo portugal pagamentos visa paypal dubito directo restantes meses 9 99 cada assine juae leia publico durante 30 dias apenas 1a jua u assinante inicie sessueo 8 semanasapenas0 99a novos assinantes assine publico onlinee continue ler pensar limites atingir limite artigos publico online mostrou u importante si exceluncia qualidade jornalismo portugal pagamentos visa paypal dubito directo restantes meses 9 99 cada peruuodo fidelizauiueo assine juae leia publico durante 8 semanas apenas 0 99a jua u assinante inicie sessueo nueo perca notuucias reportagens fotografias trabalhos multimudia fazem publico jornal premiado luuder online experimente 1a primeiro mus assine jua jua u assinante inicie sessueo campanha pagamentos visa paypal dubito directo renovauiueo mensal 9 99a esclarecemos questuces veja videos explicativos deixe contato ligamos seguida submeta questueo respondemos imediato chat continuar ler fauia login assine jua usufruir assinatura diuaria ter acesso todos osconteudos exclusivosdurante dia hoje tome nota cudigo introduza campo lado iniciar sessueo condiuiuces partir 2 30a', 'Pû¤blico')"
incêndio,www.publico.pt,2017,Xi Jinping - PÚBLICO,2017-01-18 03:21:59,https://arquivo.pt/noFrame/replay/20170118032159/http://www.publico.pt/xi-jinping?frm=home_tag,"('cookies cookies todos porsergio anibal 17 01 2017 xi jinping responde davos donald trump criticado vantagens china recolhido globalizacao acesso livre mercados porsergio anibal 17 01 2017 xi jinping responde davos donald trump criticado vantagens china recolhido globalizacao acesso livre mercados porsergio anibal 16 01 2017 primeiro encontro davos brexit eleicoes eua defensores globalizacao encontraram xi jinping nova referencia pormanuel louro 13 01 2017 xi jinping ordenou livros historia alterados acrescentem seis anos conflito japao inicio 1937 terminou 1945 02 01 2017 porpublico 14 11 2016 ter chamado china inimigo ameacar subir impostos importacao mercado pequim donald trump ira reunir presidente xi porjoao ruela ribeiro 09 11 2016 adversarios geopoliticos olham atencao redobrada passos seguem proximo presidente norte americano porpublico 27 10 2016 presidente china ve poder sair ainda reforcado reuniao comite central partido comunista chines porjoao ruela ribeiro 24 10 2016 pib chines cresceu conforme previsto acalmando ora receios mundiais mercado imobiliario agora grande preocupacao porjoao ruela ribeiro 24 10 2016 presidente chines acumulado poder forma so antes vista mao deng quais sao armas porjoao ruela ribeiro 09 10 2016 caso personalidade relevante politica chinesa condenada corrupcao versao responsivaouversao normal continuar inicie sessao registe ja registe nopublicopara guardar quantos artigos quiser ler tarde participar inqueritos tornar moderador comentarios registar continuar ler inicie sessao assine ja economia limites politica limites cultura limites desporto limites opiniao limites video limites 2017publico comunicacao social sa email marketing 30 diasapenas1 assine publico onlinee continue ler pensar limites atingir limite artigos publico online mostrou importante si excelencia qualidade jornalismo portugal pagamentos visa paypal debito directo restantes meses 9 99 cada assine jae leia publico durante 30 dias apenas 1 ja assinante inicie sessao 8 semanasapenas0 99 novos assinantes assine publico onlinee continue ler pensar limites atingir limite artigos publico online mostrou importante si excelencia qualidade jornalismo portugal pagamentos visa paypal debito directo restantes meses 9 99 cada periodo fidelizacao assine jae leia publico durante 8 semanas apenas 0 99 ja assinante inicie sessao nao perca noticias reportagens fotografias trabalhos multimedia fazem publico jornal premiado lider online experimente 1 primeiro mes assine ja ja assinante inicie sessao campanha pagamentos visa paypal debito directo renovacao mensal 9 99 esclarecemos questoes veja videos explicativos deixe contato ligamos seguida submeta questao respondemos imediato chat continuar ler faca login assine ja usufruir assinatura diaria ter acesso todos osconteudos exclusivosdurante dia hoje tome nota codigo introduza campo lado iniciar sessao condicoes partir 2 30', 'Público')"
incêndio,www.publico.pt,2017,Xutos & Pontapés - PÚBLICO,2017-01-18 05:30:50,https://arquivo.pt/noFrame/replay/20170118053050/http://www.publico.pt/xutos--pontapes,"('cookies cookies todos porpublico 13 01 2017 criada partir dostweetsde bana alabeb crianca sete anos relatou twitter vida durante conflito aleppoe divulgado 38 aniversario banda pode antecipar novo album duroe titulo provisorio porpublico 13 01 2017 criada partir dostweetsde bana alabeb crianca sete anos relatou twitter vida durante conflito aleppoe divulgado 38 aniversario banda pode antecipar novo album duroe titulo provisorio porjoana amaral cardoso 14 09 2016 emissao ja ar quarta feira tera musicas escolhidas guitarrista xutos pontapes ze pedro encerra dia naprova oralde fernando alvim sexta feira ha festa anos lux porcristiana faria moreira 24 06 2016 presidente republica primeiro ministro nao quiseram faltar portuenses noite longa ano pormario lopes 20 05 2016 springsteen nao precisou falar ouvissemos claramente acompanhado street band inspiradissima fez primeiro dia rock in rio quinta feira viagem todos recantos criatividade viram 67 mil pessoas pormario lopes 19 05 2016 queen adam lambert hollywood vampires alice cooper johnny depp joe perry sao alguns destaques cartaz onde rareiam osblockbustersque sao marca festival vitalidade presente estara palco secundario pormario lopes 19 05 2016 the river historico album 1980 sera mote concerto sera grande destaque nao so primeiro dia rock in rio lisboa todo festival pormario lopes 13 08 2015 estreou ano passado atraindo margem sul tejo propriamente parque urbano costa caparica cerca 65 mil espectadores ano organizacao manifestou ambicao aumentar ainda numero pornuno pacheco 02 06 2015 aprendeu piano real paixao sao orgaos igreja musico compositor teclista madredeus carlos maria trindade apresenta quarta feira lisboa sabado porto novo disco solo oriente porsofia cristino 25 04 2015 banda rock plantou arvore jardim botanico utad mapa porlusa 13 04 2015 plantacao gingeira mato acores forma escolhida assinalar 25 abril aniversario banda versao responsivaouversao normal continuar inicie sessao registe ja registe nopublicopara guardar quantos artigos quiser ler tarde participar inqueritos tornar moderador comentarios registar continuar ler inicie sessao assine ja economia limites politica limites cultura limites desporto limites opiniao limites video limites 2017publico comunicacao social sa email marketing 30 diasapenas1 assine publico onlinee continue ler pensar limites atingir limite artigos publico online mostrou importante si excelencia qualidade jornalismo portugal pagamentos visa paypal debito directo restantes meses 9 99 cada assine jae leia publico durante 30 dias apenas 1 ja assinante inicie sessao 8 semanasapenas0 99 novos assinantes assine publico onlinee continue ler pensar limites atingir limite artigos publico online mostrou importante si excelencia qualidade jornalismo portugal pagamentos visa paypal debito directo restantes meses 9 99 cada periodo fidelizacao assine jae leia publico durante 8 semanas apenas 0 99 ja assinante inicie sessao nao perca noticias reportagens fotografias trabalhos multimedia fazem publico jornal premiado lider online experimente 1 primeiro mes assine ja ja assinante inicie sessao campanha pagamentos visa paypal debito directo renovacao mensal 9 99 esclarecemos questoes veja videos explicativos deixe contato ligamos seguida submeta questao respondemos imediato chat continuar ler faca login assine ja usufruir assinatura diaria ter acesso todos osconteudos exclusivosdurante dia hoje tome nota codigo introduza campo lado iniciar sessao condicoes partir 2 30', 'Público')"
incêndio,www.cmjornal.pt,2017,Idosa acamada morre em incêndio,2017-08-06 19:31:37,https://arquivo.pt/noFrame/replay/20170806193137/http://www.cmjornal.pt/portugal/amp/idosa_acamada_morre_em_incendio,"('alice almeida fernandes 94 anos morava sozinha casa integrada ilha rua vasco lobeira bonfim porto acamada ha varios anos morreu carbonizada quarta feira noite habitacao consumida chamas familiares ficaram choque tragedia moradores nao ganharam susto aperceberam chamas apos serem alertados barulho explosao chegaram rua ja casa envolta labaredas volta 21h40 vitima pessoa acarinhada vizinhos dona alice nao merecia fim boa mulher sempre fez vida lembraram incendio combatido 20 elementos sapadores porto durante cerca hora chegaram local bombeiros depararam incendio grandes proporcoes suspeita dentro casa estaria pessoa primeiro combater chamas termos acesso interior entramos confirmamos existencia mulher ja cadaver disse aocmalbano cardoso chefe equipa sapadores havia perigo fogo alastrar outras casas visto zona habitacional conseguimos circunscreve lo rapidamente evitar estragos maiores frisou alem bombeiros psp tambem local pj apurar origem fogo corpo retirado habitacao bombeiros ermesinde ja 01h00 funeral marcado sexta feira 10h00 siga cm nofacebook', 'Correio da Manhã')"
