termo,site,ano,titulo,data,link,contents,sentiment_compound,sentiment_pos,sentiment_neu,sentiment_neg
incêndio,www.publico.pt,2017,Incêndio em Gaia - PÚBLICO,2017-01-18 04:36:37,https://arquivo.pt/noFrame/replay/20170118043637/http://www.publico.pt/multimedia/video/incendio-em-gaia-20161025-162615,site utiliza navegar site consentir sobre uso alterar localização porpaulo pimenta antigo armazém fábrica móveis lima avenida república vila nova gaia junto ponte luiz i ardeu final manhã desta versão responsivaouversão normal continuar inicie sessão nopúblicopara guardar quantos artigos quiser ler tarde participar inquéritos moderador comentários registar continuar ler inicie sessão assine economia limites política limites cultura limites desporto limites opinião limites vídeo limites comunicação social sa email marketing assine público onlinee continue ler pensar limites atingir limite artigos público online mostrou importante si excelência qualidade jornalismo portugal pagamentos directo restantes meses assine jáe leia público durante dias apenas assinante inicie sessão novos assinantes assine público onlinee continue ler pensar limites atingir limite artigos público online mostrou importante si excelência qualidade jornalismo portugal pagamentos directo restantes meses período fidelização assine jáe leia público durante semanas apenas assinante inicie sessão perca notícias reportagens fotografias trabalhos multimédia fazem público jornal premiado líder online experimente primeiro mês assine assinante inicie sessão campanha pagamentos visa paypal débito directo renovação mensal esclarecemos questões veja videos explicativos contato seguida submeta questão respondemos imediato chat continuar ler faça login assine usufruir assinatura diária ter acesso osconteúdos exclusivosdurante dia hoje tome nota código campo lado iniciar sessão condições partir,0.0,0.0,1.0,0.0
incêndio,www.publico.pt,2017,Complexo turístico Zmar recupera as infra-estruturas destruídas por um incêndio - PÚBLICO,2017-01-10 20:21:26,https://arquivo.pt/noFrame/replay/20170110202126/https://www.publico.pt/2017/01/10/local/noticia/complexo-turistico-zmar-recupera-as-infraestruturas-destruidas-por-um-incendio-1757764,obras recuperação edifícios complexo turístico zmar eco campo resort destruídas sequência umviolento incêndioque ocorreu passado mês setembro arrancaram passado dia janeiro francesca mello breyner responsável relações públicas complexo turísticoassessora empresa adiantou público trabalhos vão executados equipamentos danificados chamas visam manter essencial estruturas anteriores entanto experiência recolhida desde ano zmar inaugurado permitem inovar sobretudo forma funcionamento decoração espaços arquitectura explicou realçando propósito fugir projecto original empresa proprietária zmar decidiu poucas semanas após incêndio reabrir espaço público equipamentosque afectados incêndio tendo meta disponibilizar empreendimento pleno ainda primeiro semestre assim ter celebrado festa réveillon contou presença cerca hóspedes oeco resortfechou portas dar início dia janeiro obras renovação zmar características define empreendimento equipamentos madeira vai mantida garantia expressa francesca mello breyner zmar recorrerá proveniente florestas certificadas sustentabilidade garantida onde taxa crescimento supere cortes efectuados acentua preocupação questões ambientais pretende associar recuperação zmar ano turismo sustentável declarado onu projecto acredita defende princípios têm merecido reconhecimento nível nacional internacional sublinha francesca mello breyner subscreva gratuitamente newsletters receba melhor actualidade trabalhos profundos público trabalhos recuperação vão incidir spa restaurante cozinhas piscina interior ondas algumas salas inauguração oficial novo zmar prevista junho maio oecoresortjá possa receber grandes grupos hóspedes eventos incêndio ocorrido final tarde dia setembro complexo situado quilómetros zambujeira mar odemira provocou danos avultados levou retirada instalações cerca pessoas clientes funcionários convidados casamento registaram vítimas apuramento causas fogo obrigou realização perícias polícia judiciária setúbal ainda conhecem resultados adiantou zmar acrescentando desde início afastada hipótese mão criminosa causas poderão associadas equipamento móvel admite francesca mello breyner,0.3182,0.009,0.991,0.0
incêndio,www.publico.pt,2017,Zambujeira do Mar - PÚBLICO,2017-01-11 02:26:52,https://arquivo.pt/noFrame/replay/20170111022652/http://www.publico.pt/zambujeira-do-mar,site utiliza navegar site consentir sobre uso alterar localização tópicos porcarlos dias trabalhos realizar vão incidir spa restaurante cozinhas piscina interior ondas algumas salas abrirá público durante mês maio porcarlos dias trabalhos realizar vão incidir spa restaurante cozinhas piscina interior ondas algumas salas abrirá público durante mês maio porcarlos dias cerca postos trabalho mantidos área destruída chamas recuperada período páscoa porlusa vítima apanhada onda maior porcarlos dias incêndio sábado afectou spa piscina ondas restaurante cozinhas algumas salas desteresortna zambujeira mar porlusa incêndio fase rescaldo feridos danos avultados porcarlos dias luísa pintoepedro sales dias fogo controlado bombeiros início noite deste sábado operacionais combateram chamas mobilizado helicóptero pormário lopes wiz khalifa sia damian marley steve aoki integram cartaz festival sensação férias campo praia tão importante quanto música porcarlos dias pescadores apreensivos estragos estado mar provocou duas vezes obras valorização portuárias orçadas mil euros porlusaepúblico situação reavaliada dentro duas semanas pormário lopes festival zambujeira mar assume plenamente identidade desenvolvendo últimos anos apresenta destaque lado ellie goulding john newman djs david guetta hardwell alesso versão responsivaouversão normal continuar inicie sessão nopúblicopara guardar quantos artigos quiser ler tarde participar inquéritos moderador comentários registar continuar ler inicie sessão assine economia limites política limites cultura limites desporto limites opinião limites vídeo limites comunicação social sa email marketing assine público onlinee continue ler pensar limites atingir limite artigos público online mostrou importante si excelência qualidade jornalismo portugal pagamentos directo restantes meses assine jáe leia público durante dias apenas assinante inicie sessão novos assinantes assine público onlinee continue ler pensar limites atingir limite artigos público online mostrou importante si excelência qualidade jornalismo portugal pagamentos directo restantes meses período fidelização assine jáe leia público durante semanas apenas assinante inicie sessão perca notícias reportagens fotografias trabalhos multimédia fazem público jornal premiado líder online experimente primeiro mês assine assinante inicie sessão campanha pagamentos visa paypal débito directo renovação mensal esclarecemos questões veja videos explicativos contato seguida submeta questão respondemos imediato chat continuar ler faça login assine usufruir assinatura diária ter acesso osconteúdos exclusivosdurante dia hoje tome nota código campo lado iniciar sessão condições partir,0.7506,0.018,0.982,0.0
incêndio,www.publico.pt,2017,Ferreira do Zêzere - PÚBLICO,2017-01-11 06:05:20,https://arquivo.pt/noFrame/replay/20170111060520/http://www.publico.pt/ferreira-do-zezere?frm=home_tag,site utiliza navegar site consentir sobre uso alterar localização tópicos porlusa acidente ocorreu chão serra porlusa acidente ocorreu chão serra porana henriques falta veículos serviço problema grave porque vários tribunais funcionarão maior parte tempo balcões atendimento judicial magistrados porliliana borges vítima mortal turista alemão caravana localizada armazém atingido incêndio porlusa hospital deverá pronto irá custar cerca milhões euros camas porlusa appdescubra médio tejo dá conhecer património cultural religioso arqueológico natural museus concelhos porlusaepúblico agosto proprietário terreno disse apenas prevenir incêndios câmara insiste acção ilegal porlusaepúblico proprietário terrenos onde segundo quercus decorre obra ilegal zona protegida junto albufeira castelo bode argumenta intervenção visa melhorar impacto visual prevenção incêndios porpúblico bombeiros combater incêndio florestal início nesta tarde sábado zona mato concelho ferreira zêzere distrito santarém confirma autoridade nacional protecção civil anpc versão responsivaouversão normal continuar inicie sessão nopúblicopara guardar quantos artigos quiser ler tarde participar inquéritos moderador comentários registar continuar ler inicie sessão assine economia limites política limites cultura limites desporto limites opinião limites vídeo limites comunicação social sa email marketing assine público onlinee continue ler pensar limites atingir limite artigos público online mostrou importante si excelência qualidade jornalismo portugal pagamentos directo restantes meses assine jáe leia público durante dias apenas assinante inicie sessão novos assinantes assine público onlinee continue ler pensar limites atingir limite artigos público online mostrou importante si excelência qualidade jornalismo portugal pagamentos directo restantes meses período fidelização assine jáe leia público durante semanas apenas assinante inicie sessão perca notícias reportagens fotografias trabalhos multimédia fazem público jornal premiado líder online experimente primeiro mês assine assinante inicie sessão campanha pagamentos visa paypal débito directo renovação mensal esclarecemos questões veja videos explicativos contato seguida submeta questão respondemos imediato chat continuar ler faça login assine usufruir assinatura diária ter acesso osconteúdos exclusivosdurante dia hoje tome nota código campo lado iniciar sessão condições partir,-0.0258,0.008,0.983,0.009
incêndio,www.publico.pt,2017,Andrzej Zulawski (1940 - 2016) - PÚBLICO,2017-06-22 05:00:38,https://arquivo.pt/noFrame/replay/20170622050038/http://www.publico.pt/andrzej-zulawski-1940-2016,site utiliza navegar site consentir sobre uso alterar localização tópicos porluís miguel queirósevasco câmara realizador sofria cancro estreado novo filme cosmos porluís miguel queirósevasco câmara realizador sofria cancro estreado novo filme cosmos versão responsivaouversão normal continuar inicie sessão nopúblicopara guardar quantos artigos quiser ler tarde participar inquéritos moderador comentários registar continuar ler inicie sessão assine economia limites política limites cultura limites desporto limites opinião limites vídeo limites comunicação social sa email marketing assine público onlinee continue ler pensar limites atingir limite artigos público online mostrou importante si excelência qualidade jornalismo portugal pagamentos directo restantes meses assine jáe leia público durante dias apenas assinante inicie sessão novos assinantes assine público onlinee continue ler pensar limites atingir limite artigos público online mostrou importante si excelência qualidade jornalismo portugal pagamentos directo restantes meses período fidelização assine jáe leia público durante semanas apenas assinante inicie sessão perca notícias reportagens fotografias trabalhos multimédia fazem público jornal premiado líder online experimente primeiro mês assine assinante inicie sessão campanha pagamentos visa paypal débito directo renovação mensal esclarecemos questões veja videos explicativos contato seguida submeta questão respondemos imediato chat continuar ler faça login assine usufruir assinatura diária ter acesso osconteúdos exclusivosdurante dia hoje tome nota código campo lado iniciar sessão condições partir,0.0,0.0,1.0,0.0
incêndio,www.publico.pt,2017,Nova Zelândia - PÚBLICO,2017-06-15 02:17:32,https://arquivo.pt/noFrame/replay/20170615021732/http://www.publico.pt/nova-zelandia?frm=home_tag,site utiliza navegar site consentir sobre uso alterar localização tópicos porpúblico terraços brancos desapareceram vulcão monte tarawera entrou erupção passados anos equipa investigadores acredita ter encontrado localização porpúblico terraços brancos desapareceram vulcão monte tarawera entrou erupção passados anos equipa investigadores acredita ter encontrado localização porpúblico foguete empresa rocket lab possui componentes feitas impressão porpúblico único caso político associado desarmonias toca pizzas criticado comer pizza talheres presidente disse brincadeira ananás pizzas devia proibido porlusa vitória sobre fiji garante primeiro lugar grupo porpúblico porpúblico rio neozelandês ganhou personalidade jurídica passa agora poder representado processos judiciais reconhecimento visa sobretudo conservação pormargarida david cardoso logo seguir lisboa ocupa lugar cidades nova iorque edimburgo viena volta liderar ranking avaliou qualidade vida cidades porclaudia carvalho silva grande parte continente submersa nova zelândia poucas partes superfície pertencerá massa continental porreutersepúblico incidente maior género país desde baleias ficaram encalhadas costa auckland porpúblico autoridades neozelandesas tentar salvar cerca encalharam ainda vivas versão responsivaouversão normal continuar inicie sessão nopúblicopara guardar quantos artigos quiser ler tarde participar inquéritos moderador comentários registar continuar ler inicie sessão assine economia limites política limites cultura limites desporto limites opinião limites vídeo limites comunicação social sa email marketing assine público onlinee continue ler pensar limites atingir limite artigos público online mostrou importante si excelência qualidade jornalismo portugal pagamentos directo restantes meses assine jáe leia público durante dias apenas assinante inicie sessão novos assinantes assine público onlinee continue ler pensar limites atingir limite artigos público online mostrou importante si excelência qualidade jornalismo portugal pagamentos directo restantes meses período fidelização assine jáe leia público durante semanas apenas assinante inicie sessão perca notícias reportagens fotografias trabalhos multimédia fazem público jornal premiado líder online experimente primeiro mês assine assinante inicie sessão campanha pagamentos visa paypal débito directo renovação mensal esclarecemos questões veja videos explicativos contato seguida submeta questão respondemos imediato chat continuar ler faça login assine usufruir assinatura diária ter acesso osconteúdos exclusivosdurante dia hoje tome nota código campo lado iniciar sessão condições partir,0.0,0.0,1.0,0.0
incêndio,www.publico.pt,2017,Braço de ferro entre Portugal e Grécia por causa dos Yazidi - PÚBLICO,2017-01-25 22:51:07,https://arquivo.pt/noFrame/replay/20170125225107/http://www.publico.pt/multimedia/video/braco-de-ferro-entre-portugal-e-grecia-por-causa-dos-yazidi-20171251810222,site utiliza navegar site consentir sobre uso alterar localização governo ofereceu acolhimento centenas refugiados etnia yazidi maioria provenientes iraque grécia agora alberga acha escolha portuguesa envolve discriminação governo ofereceu acolhimento centenas refugiados etnia yazidi maioria provenientes iraque grécia agora alberga acha escolha portuguesa envolve discriminação caracteres restantes critérios publicação versão responsivaouversão normal continuar inicie sessão nopúblicopara guardar quantos artigos quiser ler tarde participar inquéritos moderador comentários registar continuar ler inicie sessão assine economia limites política limites cultura limites desporto limites opinião limites vídeo limites comunicação social sa email marketing assine público onlinee continue ler pensar limites atingir limite artigos público online mostrou importante si excelência qualidade jornalismo portugal pagamentos directo restantes meses assine jáe leia público durante dias apenas assinante inicie sessão novos assinantes assine público onlinee continue ler pensar limites atingir limite artigos público online mostrou importante si excelência qualidade jornalismo portugal pagamentos directo restantes meses período fidelização assine jáe leia público durante semanas apenas assinante inicie sessão perca notícias reportagens fotografias trabalhos multimédia fazem público jornal premiado líder online experimente primeiro mês assine assinante inicie sessão campanha pagamentos visa paypal débito directo renovação mensal esclarecemos questões veja videos explicativos contato seguida submeta questão respondemos imediato chat continuar ler faça login assine usufruir assinatura diária ter acesso osconteúdos exclusivosdurante dia hoje tome nota código campo lado iniciar sessão condições partir,0.0,0.0,1.0,0.0
incêndio,www.publico.pt,2017,Xi Jinping - PÚBLICO,2017-01-18 03:21:59,https://arquivo.pt/noFrame/replay/20170118032159/http://www.publico.pt/xi-jinping?frm=home_tag,site utiliza navegar site consentir sobre uso alterar localização tópicos porsérgio aníbal xi jinping responde davos donald trump têm criticado vantagens china recolhido globalização acesso livre mercados porsérgio aníbal xi jinping responde davos donald trump têm criticado vantagens china recolhido globalização acesso livre mercados porsérgio aníbal primeiro encontro davos brexit eleições eua defensores globalização encontraram xi jinping nova referência pormanuel louro xi jinping ordenou livros história alterados acrescentem seis anos conflito japão início terminou porpúblico ter chamado china inimigo ameaçar subir impostos sobre importação mercado pequim donald trump irá reunir presidente xi porjoão ruela ribeiro adversários geopolíticos olham atenção redobrada passos seguem próximo presidente porpúblico presidente china vê poder sair ainda reforçado reunião comité central partido comunista chinês porjoão ruela ribeiro pib chinês cresceu conforme previsto acalmando ora receios mundiais mercado imobiliário agora grande preocupação porjoão ruela ribeiro presidente chinês acumulado poder forma antes vista mao deng quais armas porjoão ruela ribeiro caso personalidade relevante política chinesa condenada corrupção versão responsivaouversão normal continuar inicie sessão nopúblicopara guardar quantos artigos quiser ler tarde participar inquéritos moderador comentários registar continuar ler inicie sessão assine economia limites política limites cultura limites desporto limites opinião limites vídeo limites comunicação social sa email marketing assine público onlinee continue ler pensar limites atingir limite artigos público online mostrou importante si excelência qualidade jornalismo portugal pagamentos directo restantes meses assine jáe leia público durante dias apenas assinante inicie sessão novos assinantes assine público onlinee continue ler pensar limites atingir limite artigos público online mostrou importante si excelência qualidade jornalismo portugal pagamentos directo restantes meses período fidelização assine jáe leia público durante semanas apenas assinante inicie sessão perca notícias reportagens fotografias trabalhos multimédia fazem público jornal premiado líder online experimente primeiro mês assine assinante inicie sessão campanha pagamentos visa paypal débito directo renovação mensal esclarecemos questões veja videos explicativos contato seguida submeta questão respondemos imediato chat continuar ler faça login assine usufruir assinatura diária ter acesso osconteúdos exclusivosdurante dia hoje tome nota código campo lado iniciar sessão condições partir,0.0,0.0,1.0,0.0
incêndio,www.publico.pt,2017,Xutos & Pontapés - PÚBLICO,2017-01-18 05:30:50,https://arquivo.pt/noFrame/replay/20170118053050/http://www.publico.pt/xutos--pontapes,site utiliza navegar site consentir sobre uso alterar localização tópicos porpúblico criada partir dostweetsde bana alabeb criança sete anos relatou twitter vida durante conflito aleppoé divulgado aniversário banda pode antecipar novo título provisório porpúblico criada partir dostweetsde bana alabeb criança sete anos relatou twitter vida durante conflito aleppoé divulgado aniversário banda pode antecipar novo título provisório porjoana amaral cardoso emissão ar músicas escolhidas guitarrista xutos pontapés zé pedro encerra dia naprova oralde fernando alvim festa anos lux porcristiana faria moreira presidente república quiseram faltar àquela portuenses noite longa ano pormário lopes springsteen precisou falar ouvíssemos claramente acompanhado street band inspiradíssima fez primeiro dia rock in rio viagem recantos criatividade mil pessoas pormário lopes queen adam lambert hollywood vampires alice cooper johnny depp joe perry alguns destaques cartaz onde rareiam osblockbustersque marca festival vitalidade presente estará palco secundário pormário lopes the river histórico álbum mote concerto grande destaque primeiro dia rock in rio lisboa todo festival pormário lopes ano passado atraindo margem sul tejo propriamente parque urbano costa caparica cerca mil espectadores ano organização manifestou ambição aumentar ainda número pornuno pacheco aprendeu piano real paixão órgãos igreja músico compositor teclista madredeus carlos maria trindade apresenta lisboa sábado porto novo disco solo oriente porsofia cristino banda rock plantou árvore pôr jardim botânico utad mapa porlusa plantação açores forma escolhida assinalar abril aniversário banda versão responsivaouversão normal continuar inicie sessão nopúblicopara guardar quantos artigos quiser ler tarde participar inquéritos moderador comentários registar continuar ler inicie sessão assine economia limites política limites cultura limites desporto limites opinião limites vídeo limites comunicação social sa email marketing assine público onlinee continue ler pensar limites atingir limite artigos público online mostrou importante si excelência qualidade jornalismo portugal pagamentos directo restantes meses assine jáe leia público durante dias apenas assinante inicie sessão novos assinantes assine público onlinee continue ler pensar limites atingir limite artigos público online mostrou importante si excelência qualidade jornalismo portugal pagamentos directo restantes meses período fidelização assine jáe leia público durante semanas apenas assinante inicie sessão perca notícias reportagens fotografias trabalhos multimédia fazem público jornal premiado líder online experimente primeiro mês assine assinante inicie sessão campanha pagamentos visa paypal débito directo renovação mensal esclarecemos questões veja videos explicativos contato seguida submeta questão respondemos imediato chat continuar ler faça login assine usufruir assinatura diária ter acesso osconteúdos exclusivosdurante dia hoje tome nota código campo lado iniciar sessão condições partir,0.9325,0.035,0.965,0.0
incêndio,www.cmjornal.pt,2017,Idosa acamada morre em incêndio,2017-08-06 19:31:37,https://arquivo.pt/noFrame/replay/20170806193137/http://www.cmjornal.pt/portugal/amp/idosa_acamada_morre_em_incendio,alice almeida fernandes anos morava sozinha casa integrada ilha rua vasco lobeira bonfim porto acamada vários anos morreu carbonizada noite habitação consumida chamas familiares ficaram choque moradores ganharam susto chamas após serem alertados barulho explosão chegaram rua casa envolta labaredas volta vítima pessoa acarinhada vizinhos dona alice merecia fim boa mulher sempre fez vida incêndio combatido elementos sapadores porto durante cerca hora chegaram local bombeiros incêndio grandes proporções suspeita dentro casa estaria pessoa primeiro combater chamas termos acesso interior entrámos confirmámos existência mulher cadáver disse aocmalbano cardoso chefe equipa sapadores havia perigo fogo alastrar outras casas visto zona habitacional conseguimos rapidamente evitar estragos maiores frisou além bombeiros psp local pj apurar origem corpo retirado habitação bombeiros ermesinde funeral marcado siga cm nofacebook,-0.3612,0.0,0.98,0.02
