termo,site,ano,titulo,data,link
incêndio,www.publico.pt,2017,Incêndio em Gaia - PÚBLICO,2017-01-18 04:36:37,https://arquivo.pt/noFrame/replay/20170118043637/http://www.publico.pt/multimedia/video/incendio-em-gaia-20161025-162615
incêndio,www.publico.pt,2017,Complexo turístico Zmar recupera as infra-estruturas destruídas por um incêndio - PÚBLICO,2017-01-10 20:21:26,https://arquivo.pt/noFrame/replay/20170110202126/https://www.publico.pt/2017/01/10/local/noticia/complexo-turistico-zmar-recupera-as-infraestruturas-destruidas-por-um-incendio-1757764
incêndio,www.publico.pt,2017,Zambujeira do Mar - PÚBLICO,2017-01-11 02:26:52,https://arquivo.pt/noFrame/replay/20170111022652/http://www.publico.pt/zambujeira-do-mar
incêndio,www.publico.pt,2017,Ferreira do Zêzere - PÚBLICO,2017-01-11 06:05:20,https://arquivo.pt/noFrame/replay/20170111060520/http://www.publico.pt/ferreira-do-zezere?frm=home_tag
incêndio,www.publico.pt,2017,Andrzej Zulawski (1940 - 2016) - PÚBLICO,2017-06-22 05:00:38,https://arquivo.pt/noFrame/replay/20170622050038/http://www.publico.pt/andrzej-zulawski-1940-2016
incêndio,www.publico.pt,2017,Nova Zelândia - PÚBLICO,2017-06-15 02:17:32,https://arquivo.pt/noFrame/replay/20170615021732/http://www.publico.pt/nova-zelandia?frm=home_tag
incêndio,www.publico.pt,2017,Braço de ferro entre Portugal e Grécia por causa dos Yazidi - PÚBLICO,2017-01-25 22:51:07,https://arquivo.pt/noFrame/replay/20170125225107/http://www.publico.pt/multimedia/video/braco-de-ferro-entre-portugal-e-grecia-por-causa-dos-yazidi-20171251810222
incêndio,www.publico.pt,2017,Xi Jinping - PÚBLICO,2017-01-18 03:21:59,https://arquivo.pt/noFrame/replay/20170118032159/http://www.publico.pt/xi-jinping?frm=home_tag
incêndio,www.publico.pt,2017,Xutos & Pontapés - PÚBLICO,2017-01-18 05:30:50,https://arquivo.pt/noFrame/replay/20170118053050/http://www.publico.pt/xutos--pontapes
incêndio,www.cmjornal.pt,2017,Idosa acamada morre em incêndio,2017-08-06 19:31:37,https://arquivo.pt/noFrame/replay/20170806193137/http://www.cmjornal.pt/portugal/amp/idosa_acamada_morre_em_incendio
incêndio,www.cmjornal.pt,2017,Telecomunicações continuam a falhar em zonas afetadas pelo incêndio de Pedrógão,2017-08-06 15:10:34,https://arquivo.pt/noFrame/replay/20170806151034/http://www.cmjornal.pt/portugal/amp/telecomunicacoes-continuam-a-falhar-em-zonas-afetadas-pelo-incendio-de-pedrogao
incêndio,www.cmjornal.pt,2017,Incêndio em Loures consome barracão - Portugal - Correio da Manhã,2017-08-08 19:02:10,https://arquivo.pt/noFrame/replay/20170808190210/http://www.cmjornal.pt/portugal/detalhe/incendio-lavra-em-zona-de-mato-em-loures
incêndio,www.cmjornal.pt,2017,Incêndio no Fundão corta A23 - Portugal - Correio da Manhã,2017-08-15 17:31:15,https://arquivo.pt/noFrame/replay/20170815173115/http://www.cmjornal.pt/portugal/detalhe/a23-cortada-ao-transito-na-zona-do-fundao-devido-a-incendio
incêndio,www.cmjornal.pt,2017,Telecomunicações continuam a falhar em zonas afetadas pelo incêndio de Pedrógão - Portugal - Correio,2017-08-06 19:56:09,https://arquivo.pt/noFrame/replay/20170806195609/http://www.cmjornal.pt/portugal/detalhe/telecomunicacoes-continuam-a-falhar-em-zonas-afetadas-pelo-incendio-de-pedrogao
incêndio,www.cmjornal.pt,2017,Oito pessoas assistidas e um animal morto em incêndio no Zoo de Londres - Cm ao Minuto - Correio da ,2017-12-23 18:19:50,https://arquivo.pt/noFrame/replay/20171223181950/http://www.cmjornal.pt//cm-ao-minuto/detalhe/oito-pessoas-assistidas-e-um-animal-morto-em-incendio-no-zoo-de-londres
incêndio,www.cmjornal.pt,2017,Fogo descontrolado em Vila de Rei obriga à evacuação de aldeias de Mação - Portugal - Correio da Man,2017-08-14 19:34:23,https://arquivo.pt/noFrame/replay/20170814193423/http://www.cmjornal.pt/portugal/detalhe/fogo-de-varias-frentes-combatido-em-ferreira-do-zezere
incêndio,www.cmjornal.pt,2017,Rússia vence a Nova Zelândia no jogo de abertura - Taça das Confederações - Correio da Manhã,2017-06-18 20:31:49,https://arquivo.pt/noFrame/replay/20170618203149/http://www.cmjornal.pt/desporto/taca-das-confederacoes/detalhe/russia-vence-a-nova-zelandia-no-jogo-de-abertura
incêndio,www.cmjornal.pt,2017,Justiça espanhola arquiva denúncia contra Xabi Alonso - Cm ao Minuto - Correio da Manhã,2017-01-12 07:27:13,https://arquivo.pt/noFrame/replay/20170112072713/http://www.cmjornal.pt/cm-ao-minuto/detalhe/justica-espanhola-arquiva-denuncia-contra-xabi-alonso?ref=desporto_outras&act=0&est=Aberto
incêndio,www.cmjornal.pt,2017,Jovem cai de falésia na Zambujeira do Mar - Portugal - Correio da Manhã,2017-08-06 23:38:43,https://arquivo.pt/noFrame/replay/20170806233843/http://www.cmjornal.pt/portugal/detalhe/jovem-cai-de-falesia-em-zambujeira-do-mar
incêndio,www.cmjornal.pt,2017,Jovem cai de falésia na Zambujeira do Mar - Portugal - Correio da Manhã,2017-08-06 23:38:56,https://arquivo.pt/noFrame/replay/20170806233856/http://www.cmjornal.pt/portugal/detalhe/jovem-cai-de-falesia-em-zambujeira-do-mar?act=0&est=Aberto
incêndio,www.cmjornal.pt,2017,Acidente condiciona circulação na A1 em Vila Franca de Xira - Portugal - Correio da Manhã,2017-04-25 06:24:35,https://arquivo.pt/noFrame/replay/20170425062435/http://www.cmjornal.pt/portugal/detalhe/transito-acidente-condiciona-circulacao-na-a1-junto-a-vila-franca-de-xira-sentido-porto-lisboa?ref=Sociedade_BlocoFimPagina
incêndio,www.cmjornal.pt,2017,Acidente condiciona circulação na A1 em Vila Franca de Xira - Portugal - Correio da Manhã,2017-04-25 03:28:46,https://arquivo.pt/noFrame/replay/20170425032846/http://www.cmjornal.pt/portugal/detalhe/transito-acidente-condiciona-circulacao-na-a1-junto-a-vila-franca-de-xira-sentido-porto-lisboa?ref=Exclusivos_BlocoFimPagina
incêndio,www.cmjornal.pt,2017,"Bolsa de Xangai abriu em queda de 0,07% - Cm ao Minuto - Correio da Manhã",2017-03-09 01:18:35,https://arquivo.pt/noFrame/replay/20170309011835/http://www.cmjornal.pt//cm-ao-minuto/detalhe/bolsa-de-xangai-abriu-em-queda-de-007
