site,ano,termo,resultados
www.publico.pt,2015,incêndios,302897
www.cmjornal.pt,2015,incêndios,0
www.sapo.pt,2015,incêndios,1651
www.expresso.pt,2015,incêndios,0
www.publico.pt,2016,incêndios,87324
www.cmjornal.pt,2016,incêndios,47001
www.sapo.pt,2016,incêndios,136
www.expresso.pt,2016,incêndios,0
www.publico.pt,2017,incêndios,57157
www.cmjornal.pt,2017,incêndios,129162
www.sapo.pt,2017,incêndios,1069
www.expresso.pt,2017,incêndios,0
www.publico.pt,2018,incêndios,17518
www.cmjornal.pt,2018,incêndios,99008
www.sapo.pt,2018,incêndios,4291
www.expresso.pt,2018,incêndios,3
www.publico.pt,2019,incêndios,26248
www.cmjornal.pt,2019,incêndios,33474
www.sapo.pt,2019,incêndios,3870
www.expresso.pt,2019,incêndios,4
www.publico.pt,2020,incêndios,23926
www.cmjornal.pt,2020,incêndios,12137
www.sapo.pt,2020,incêndios,20452
www.expresso.pt,2020,incêndios,0
www.publico.pt,2021,incêndios,0
www.cmjornal.pt,2021,incêndios,0
www.sapo.pt,2021,incêndios,74
www.expresso.pt,2021,incêndios,0
www.publico.pt,2022,incêndios,0
www.cmjornal.pt,2022,incêndios,0
www.sapo.pt,2022,incêndios,0
www.expresso.pt,2022,incêndios,0
www.publico.pt,2015,incêndios florestais,11691
www.cmjornal.pt,2015,incêndios florestais,0
www.sapo.pt,2015,incêndios florestais,281
www.expresso.pt,2015,incêndios florestais,0
www.publico.pt,2016,incêndios florestais,28144
www.cmjornal.pt,2016,incêndios florestais,1732
www.sapo.pt,2016,incêndios florestais,33
www.expresso.pt,2016,incêndios florestais,0
www.publico.pt,2017,incêndios florestais,19958
www.cmjornal.pt,2017,incêndios florestais,31418
www.sapo.pt,2017,incêndios florestais,159
www.expresso.pt,2017,incêndios florestais,0
www.publico.pt,2018,incêndios florestais,9236
www.cmjornal.pt,2018,incêndios florestais,14217
www.sapo.pt,2018,incêndios florestais,301
www.expresso.pt,2018,incêndios florestais,0
www.publico.pt,2019,incêndios florestais,21279
www.cmjornal.pt,2019,incêndios florestais,4130
www.sapo.pt,2019,incêndios florestais,331
www.expresso.pt,2019,incêndios florestais,0
www.publico.pt,2020,incêndios florestais,13005
